year,month,project_status,district,num_of_projects,num_of_rooms,investments
2022,12,none,Gampaha,none,4261,NA
2022,12,none,Kaluthara,none,3809,NA
2022,12,none,Kandy,none,3637,NA
2022,12,none,Matale,none,2177,NA
2022,12,none,Matara,none,2292,NA
2022,12,none,Nuwara Eliya,none,2206,NA
2022,12,none,Hambantota,none,2088,NA
2022,12,none,Badulla,none,1986,NA
2022,12,none,Anuradhapura,none,1543,NA
2022,12,none,Puttalam,none,1364,NA
2022,12,none,Batticaloa,none,869,NA
2022,12,none,Ampara,none,725,NA
2022,12,none,Trincomalee,none,720,NA
2022,12,none,Polonnaruwa,none,615,NA
2022,12,none,Ratnapura,none,601,NA
2022,12,none,Moneragala,none,604,NA
2022,12,none,Jaffna,none,540,NA
2022,12,none,Kurunegala,none,520,NA
2022,12,none,Kegalle,none,424,NA
2022,12,none,Vavuniya,none,77,NA
2022,12,none,Kilinochchi,none,85,NA
2022,12,none,Mullaitivu,none,58,NA
2022,12,none,Mannar,none,26,NA
2023,12,none,Ampara,31,439,NA
2023,12,none,Anuradhapura,15,286,NA
2023,12,none,Badulla,29,711,NA
2023,12,none,Batticaloa,28,702,NA
2023,12,none,Colombo,86,9530,NA
2023,12,none,Galle,161,5307,NA
2023,12,none,Gampaha,50,3182,NA
2023,12,none,Hambantota,72,2761,NA
2023,12,none,Jaffna,47,983,NA
2023,12,none,Kalutara,43,1885,NA
2023,12,none,Kegalle,5,215,NA
2023,12,none,Kurunegala,3,87,NA
2023,12,none,Kandy,52,2269,NA
2023,12,none,Kilinochchi,3,64,NA
2023,12,none,Manar,9,137,NA
2023,12,none,Monaragala,4,57,NA
2023,12,none,Matara,87,2055,NA
2023,12,none,Matale,53,1827,NA
2023,12,none,Mullaitivu,1,99,NA
2023,12,none,Nuwara Eliya,29,1592,NA
2023,12,none,Polonnaruwa,4,129,NA
2023,12,none,Puttlam,29,1317,NA
2023,12,none,Ratnapura,7,117,NA
2023,12,none,Trincomalee,46,1435,NA
2023,12,none,Vavuniya,4,86,NA
2024,12,none,Ampara,none,797,NA
2024,12,none,Anuradhapura,none,1702,NA
2024,12,none,Badulla,none,2042,NA
2024,12,none,Batticaloa,none,988,NA
2024,12,none,Colombo,none,10107,NA
2024,12,none,Galle,none,8702,NA
2024,12,none,Gampaha,none,4590,NA
2024,12,none,Hambantota,none,2420,NA
2024,12,none,Jaffna,none,722,NA
2024,12,none,Kalutara,none,4019,NA
2024,12,none,Kandy,none,3948,NA
2024,12,none,Kegalle,none,679,NA
2024,12,none,Kilinochchi,none,103,NA
2024,12,none,Kurunegala,none,579,NA
2024,12,none,Mannar,none,45,NA
2024,12,none,Matale,none,2318,NA
2024,12,none,Matara,none,2594,NA
2024,12,none,Monaragala,none,696,NA
2024,12,none,Mullaitivu,none,63,NA
2024,12,none,Nuwara Eliya,none,2505,NA
2024,12,none,Polonnaruwa,none,653,NA
2024,12,none,Puttalam,none,1514,NA
2024,12,none,Rathnapura,none,716,NA
2024,12,none,Trincomalee,none,741,NA
2024,12,none,Vavuniya,none,135,NA
